method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,1.2031105314003513e-09,200,0.17107650000070862
Gauss-Seidel,1e-10,True,2.2480879507025904e-08,31,0.1409016999996311
Gradient,1e-10,True,9.82038624805486e-08,12919,7.647178300000633
Jacobi,1e-10,True,1.8524355976869721e-09,313,2.4383137000004353
Conjugate Gradient,1e-08,True,1.3198404445790988e-07,177,0.1445136000002094
Gauss-Seidel,1e-08,True,1.7097329003817078e-06,24,0.11284679999971559
Gradient,1e-08,True,9.816363743993126e-06,8233,4.769082400000116
Jacobi,1e-08,True,1.8249788644921493e-07,247,2.2164496000004874
Conjugate Gradient,1e-06,True,2.5529092776019556e-05,134,0.10795280000002094
Gauss-Seidel,1e-06,True,0.00012996939585971902,17,0.07097370000064984
Gradient,1e-06,True,0.0009680457310610326,3577,1.7650212999997166
Jacobi,1e-06,True,1.7979295435470797e-05,181,1.3660117999997965
Conjugate Gradient,0.0001,True,0.020789760009956734,49,0.023634099999981117
Gauss-Seidel,0.0001,True,0.018205942995188434,9,0.03791689999980008
Gradient,0.0001,True,0.03457470077301093,143,0.09380669999973179
Jacobi,0.0001,True,0.0017712811483054668,115,0.8983594000001176
