method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.2476222567504397e-11,74,0.18381659999795374
Gauss-Seidel,1e-10,True,4.948902783336852e-09,3589,28.998507000000245
Gradient,1e-10,True,3.798761123960302e-09,4696,11.48162769999908
Jacobi,1e-10,True,4.964172146079388e-09,7174,224.2007552000032
Conjugate Gradient,1e-08,True,4.299983332140616e-09,66,0.2094176000027801
Gauss-Seidel,1e-08,True,4.958369589175199e-07,2714,21.81571139999869
Gradient,1e-08,True,3.8098505476311335e-07,3566,9.096856199998001
Jacobi,1e-08,True,4.965607771164741e-07,5425,175.35629749999862
Conjugate Gradient,1e-06,True,4.742996282507406e-07,56,0.16778250000061234
Gauss-Seidel,1e-06,True,4.941761267332614e-05,1840,31.303020999999717
Gradient,1e-06,True,3.7914189777139034e-05,2438,6.681042399999569
Jacobi,1e-06,True,4.9670344308777524e-05,3676,130.58039740000095
Conjugate Gradient,0.0001,True,5.7290172222273235e-05,47,0.1320744000004197
Gauss-Seidel,0.0001,True,0.0049511892915417395,965,8.653061899996828
Gradient,0.0001,True,0.003811929529387903,1308,3.69882239999788
Jacobi,0.0001,True,0.004968461406190592,1927,69.62509730000238
