,,converged,converged,converged,converged,iterations,iterations,iterations,iterations,time,time,time,time
method,,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi
matrix,tolerance,,,,,,,,,,,,
spa1.mtx,1e-10,True,True,True,True,200,31,12919,313,0.08433040000090841,0.09669389999908162,3.622965099999419,1.7586646000017936
spa1.mtx,1e-08,True,True,True,True,177,24,8233,247,0.05593130000124802,0.05153760000030161,1.8705012999998871,1.165423099999316
spa1.mtx,1e-06,True,True,True,True,134,17,3577,181,0.03071329999875161,0.03681219999998575,0.7821442999993451,0.8775707999993756
spa1.mtx,0.0001,True,True,True,True,49,9,143,115,0.011289599999145139,0.01928319999933592,0.03217589999985648,0.5265241999986756
spa2.mtx,1e-10,True,True,True,True,240,15,8285,99,0.9726895000021614,0.3076309999996738,31.411491700000624,4.80463840000084
spa2.mtx,1e-08,True,True,True,True,196,12,5087,78,0.7991468000000168,0.23853830000007292,19.339926699998614,3.8321834999987914
spa2.mtx,1e-06,True,True,True,True,122,8,1949,57,0.5075418999986141,0.16436440000325092,7.403228099999978,2.7435682000032102
spa2.mtx,0.0001,True,True,True,True,42,5,161,36,0.18254820000220207,0.09199470000021392,0.6662394000013592,1.7731636999997136
vem1.mtx,1e-10,True,True,True,True,59,2338,3058,4671,0.03533400000014808,10.500977700001386,1.486297100000229,76.96998689999964
vem1.mtx,1e-08,True,True,True,True,53,1778,2336,3552,0.039748699997289805,11.752997100000357,1.7359772000017983,59.625040400002035
vem1.mtx,1e-06,True,True,True,True,45,1218,1612,2433,0.02119970000057947,6.956799100000353,1.0255935999994108,36.26640920000136
vem1.mtx,0.0001,True,True,True,True,38,659,890,1314,0.019492999999783933,3.72802529999899,0.49659479999900213,19.612970199999836
vem2.mtx,1e-10,True,True,True,True,74,3589,4696,7174,0.18381659999795374,28.998507000000245,11.48162769999908,224.2007552000032
vem2.mtx,1e-08,True,True,True,True,66,2714,3566,5425,0.2094176000027801,21.81571139999869,9.096856199998001,175.35629749999862
vem2.mtx,1e-06,True,True,True,True,56,1840,2438,3676,0.16778250000061234,31.303020999999717,6.681042399999569,130.58039740000095
vem2.mtx,0.0001,True,True,True,True,47,965,1308,1927,0.1320744000004197,8.653061899996828,3.69882239999788,69.62509730000238
