method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,5.32422911702602e-09,240,0.2509724000010465
Gauss-Seidel,1e-10,True,5.5707397071366335e-09,15,0.17498340000020107
Gradient,1e-10,True,6.937814087826511e-08,8285,8.391261299999314
Jacobi,1e-10,True,1.4842717984367124e-09,99,0.22008769999956712
Conjugate Gradient,1e-08,True,5.5866605923787e-07,196,0.19925960000182386
Gauss-Seidel,1e-08,True,2.794322031114621e-07,12,0.14312079999945126
Gradient,1e-08,True,6.865240116960122e-06,5087,5.0749947000003885
Jacobi,1e-08,True,1.5728698866073497e-07,78,0.17547840000042925
Conjugate Gradient,1e-06,True,0.00011979846178332845,122,0.12615890000233776
Gauss-Seidel,1e-06,True,5.1416412596039396e-05,8,0.09843999999793596
Gradient,1e-06,True,0.0006694229253864065,1949,2.011298599998554
Jacobi,1e-06,True,1.666756136740418e-05,57,0.14543229999981122
Conjugate Gradient,0.0001,True,0.009821128457264636,42,0.046157600001606625
Gauss-Seidel,0.0001,True,0.002598895587452938,5,0.06938549999904353
Gradient,0.0001,True,0.018129645117112566,161,0.24003549999906681
Jacobi,0.0001,True,0.0017662465191131578,36,0.10156450000067707
