method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.2476222567504397e-11,74,0.18492949999927077
Gauss-Seidel,1e-10,True,4.948902783336852e-09,3589,78.97527439999976
Gradient,1e-10,True,3.798761123960302e-09,4696,11.308854599992628
Jacobi,1e-10,True,4.964172146079388e-09,7174,36.723194700010936
Conjugate Gradient,1e-08,True,4.299983332140616e-09,66,0.15726019999419805
Gauss-Seidel,1e-08,True,4.958369589175199e-07,2714,60.243215100010275
Gradient,1e-08,True,3.8098505476311335e-07,3566,8.2170155000058
Jacobi,1e-08,True,4.965607771164741e-07,5425,26.76580359999207
Conjugate Gradient,1e-06,True,4.742996282507406e-07,56,0.10680979999597184
Gauss-Seidel,1e-06,True,4.941761267332614e-05,1840,41.11653970000043
Gradient,1e-06,True,3.7914189777139034e-05,2438,5.344605199992657
Jacobi,1e-06,True,4.9670344308777524e-05,3676,18.125706799997715
Conjugate Gradient,0.0001,True,5.7290172222273235e-05,47,0.07846200000494719
Gauss-Seidel,0.0001,True,0.0049511892915417395,965,21.569149899994954
Gradient,0.0001,True,0.003811929529387903,1308,2.549911299996893
Jacobi,0.0001,True,0.004968461406190592,1927,9.927072000005865
