,,converged,converged,converged,converged,iterations,iterations,iterations,iterations,time,time,time,time
method,,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi
matrix,tolerance,,,,,,,,,,,,
spa1.mtx,1e-10,True,True,True,True,200,31,12919,313,0.024331099997652927,0.07869130000108271,1.4852887999986706,0.09471750000011525
spa1.mtx,1e-08,True,True,True,True,177,24,8233,247,0.025630299998738337,0.05447980000099051,0.8518027999998594,0.06226609999794164
spa1.mtx,1e-06,True,True,True,True,134,17,3577,181,0.01977210000040941,0.04185419999703299,0.3981211999998777,0.061671600000408944
spa1.mtx,0.0001,True,True,True,True,49,9,143,115,0.006867800002510194,0.02455019999979413,0.016797800002677832,0.04134560000238707
spa2.mtx,1e-10,True,True,True,True,240,15,8285,99,0.6002929999995104,0.18485140000120737,21.100564000000304,0.5762825000019802
spa2.mtx,1e-08,True,True,True,True,196,12,5087,78,0.48111879999851226,0.15922599999976228,13.200557199998002,0.4594503000007535
spa2.mtx,1e-06,True,True,True,True,122,8,1949,57,0.3018844000034733,0.09898759999850881,4.999895499997365,0.3471423999981198
spa2.mtx,0.0001,True,True,True,True,42,5,161,36,0.11179439999978058,0.06530940000084229,0.41318410000167205,0.32064639999953215
vem1.mtx,1e-10,True,True,True,True,59,2338,3058,4671,0.02466389999972307,22.276580800000374,1.2134436999986065,6.622536999999284
vem1.mtx,1e-08,True,True,True,True,53,1778,2336,3552,0.02811179999844171,17.127278100000694,0.9350417000023299,6.390874500000791
vem1.mtx,1e-06,True,True,True,True,45,1218,1612,2433,0.015110500000446336,5.77216220000264,0.6539950000005774,3.0810435000021243
vem1.mtx,0.0001,True,True,True,True,38,659,890,1314,0.014626200001657708,3.1053848000010476,0.26274889999695006,1.7908143000022392
vem2.mtx,1e-10,True,True,True,True,74,3589,4696,7174,0.136999400001514,70.10788690000118,8.678137799997785,30.120725499997206
vem2.mtx,1e-08,True,True,True,True,66,2714,3566,5425,0.12216310000076191,53.435176000002684,6.6477874999982305,22.712663899998006
vem2.mtx,1e-06,True,True,True,True,56,1840,2438,3676,0.10654609999983222,35.98082240000076,4.493047800002387,15.295484700000088
vem2.mtx,0.0001,True,True,True,True,47,965,1308,1927,0.09426760000133072,18.7442587000005,2.5431494000004022,8.039890199997899
