method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,5.3242299749881576e-09,240,1.1488750000007713
Gauss-Seidel,1e-10,True,5.570738981843445e-09,15,0.333852100000513
Gradient,1e-10,True,6.937814105275417e-08,8285,36.15682819999893
Jacobi,1e-10,True,1.4842725765298959e-09,99,5.411553800000547
Conjugate Gradient,1e-08,True,5.58666060323775e-07,196,0.8088499000004958
Gauss-Seidel,1e-08,True,2.794322030817201e-07,12,0.31930319999992207
Gradient,1e-08,True,6.8652401167873e-06,5087,21.345962999999756
Jacobi,1e-08,True,1.5728698902502938e-07,78,4.368895800000246
Conjugate Gradient,1e-06,True,0.00011979846178556433,122,0.5465192999999999
Gauss-Seidel,1e-06,True,5.1416412595275596e-05,8,0.17737960000158637
Gradient,1e-06,True,0.000669422925385688,1949,7.994186199999604
Jacobi,1e-06,True,1.6667561366696785e-05,57,3.0588601999988896
Conjugate Gradient,0.0001,True,0.009821128457264065,42,0.19831879999946977
Gauss-Seidel,0.0001,True,0.0025988955874521945,5,0.10217830000146932
Gradient,0.0001,True,0.018129645117112205,161,0.7030422999996517
Jacobi,0.0001,True,0.0017662465191141646,36,2.0358744999994087
