method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.1917495955692855e-11,59,0.04878690000077768
Gauss-Seidel,1e-10,True,3.508245363805012e-09,2338,13.406266900001356
Gradient,1e-10,True,2.7131698514664498e-09,3058,2.153369300000122
Jacobi,1e-10,True,3.53946035755399e-09,4671,78.42550999999912
Conjugate Gradient,1e-08,True,2.8318733840161867e-09,53,0.031524500000159605
Gauss-Seidel,1e-08,True,3.5174570262656095e-07,1778,12.175736299999699
Gradient,1e-08,True,2.6953374191807193e-07,2336,1.4797592000013537
Jacobi,1e-08,True,3.5397659732201137e-07,3552,61.061955499999385
Conjugate Gradient,1e-06,True,3.732339701465672e-07,45,0.03992409999955271
Gauss-Seidel,1e-06,True,3.526696849704578e-05,1218,11.719002300000284
Gradient,1e-06,True,2.713339183805879e-05,1612,1.545260099999723
Jacobi,1e-06,True,3.540073343179866e-05,2433,44.201163600000655
Conjugate Gradient,0.0001,True,4.082793158685096e-05,38,0.023308399999223184
Gauss-Seidel,0.0001,True,0.003506972597039514,659,3.6938726999997016
Gradient,0.0001,True,0.0027045724093699916,890,0.5207531000014569
Jacobi,0.0001,True,0.0035403807574102613,1314,22.2550183000003
