method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,5.3242299749881576e-09,240,0.8674987999984296
Gauss-Seidel,1e-10,True,5.570738777208652e-09,15,0.2797181000059936
Gradient,1e-10,True,6.937814105275417e-08,8285,25.30630630000087
Jacobi,1e-10,True,1.4842725765298959e-09,99,0.7128904999990482
Conjugate Gradient,1e-08,True,5.58666060323775e-07,196,0.5762867000012193
Gauss-Seidel,1e-08,True,2.7943220394305187e-07,12,0.22128650000377093
Gradient,1e-08,True,6.8652401167873e-06,5087,15.851849999991828
Jacobi,1e-08,True,1.5728698902502938e-07,78,0.5677602999930969
Conjugate Gradient,1e-06,True,0.00011979846178556433,122,0.34738339998875745
Gauss-Seidel,1e-06,True,5.1416412594863504e-05,8,0.1507531000097515
Gradient,1e-06,True,0.000669422925385688,1949,5.846473899990087
Jacobi,1e-06,True,1.6667561366696785e-05,57,0.4226673000084702
Conjugate Gradient,0.0001,True,0.009821128457264065,42,0.11290790000930429
Gauss-Seidel,0.0001,True,0.0025988955874522543,5,0.09290099999634549
Gradient,0.0001,True,0.018129645117112205,161,0.4556607999984408
Jacobi,0.0001,True,0.0017662465191141646,36,0.26521309999225195
