method,tolerance,converged,relative_error,iterations,time
Conjugate Gradient,1e-10,True,2.247622046901114e-11,74,0.1887348000000202
Gauss-Seidel,1e-10,True,4.948902622623083e-09,3589,40.42192049999903
Gradient,1e-10,True,3.798760970828371e-09,4696,13.249451800000315
Jacobi,1e-10,True,4.964171889719481e-09,7174,36.076064300001235
Conjugate Gradient,1e-08,True,4.2999833473705915e-09,66,0.17094929999984743
Gauss-Seidel,1e-08,True,4.9583695869747e-07,2714,30.216497600000366
Gradient,1e-08,True,3.80985054609981e-07,3566,9.182266800000434
Jacobi,1e-08,True,4.965607769045873e-07,5425,27.217580600001384
Conjugate Gradient,1e-06,True,4.74299628233515e-07,56,0.1451591000004555
Gauss-Seidel,1e-06,True,4.9417612673175354e-05,1840,20.580509899999015
Gradient,1e-06,True,3.7914189776986535e-05,2438,6.227887000000919
Jacobi,1e-06,True,4.967034430857491e-05,3676,18.901558199999272
Conjugate Gradient,0.0001,True,5.729017222225196e-05,47,0.12165079999977024
Gauss-Seidel,0.0001,True,0.004951189291541528,965,10.94893520000005
Gradient,0.0001,True,0.003811929529387815,1308,3.4564510000000155
Jacobi,0.0001,True,0.0049684614061904575,1927,10.16540569999961
