,,converged,converged,converged,converged,iterations,iterations,iterations,iterations,time,time,time,time
method,,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi,Conjugate Gradient,Gauss-Seidel,Gradient,Jacobi
matrix,tolerance,,,,,,,,,,,,
spa1.mtx,1e-10,True,True,True,True,200,31,12919,313,0.0922632000001613,0.1444589000002452,4.604598300000362,1.9163614000008238
spa1.mtx,1e-08,True,True,True,True,177,24,8233,247,0.05989430000045104,0.060563400000319234,2.901971900000717,1.68474310000056
spa1.mtx,1e-06,True,True,True,True,134,17,3577,181,0.06789009999920381,0.03989290000026813,1.4239269999998214,0.9879221999999572
spa1.mtx,0.0001,True,True,True,True,49,9,143,115,0.017502099999546772,0.026474399999642628,0.039424299999154755,0.6681710000011662
spa2.mtx,1e-10,True,True,True,True,240,15,8285,99,1.1488750000007713,0.333852100000513,36.15682819999893,5.411553800000547
spa2.mtx,1e-08,True,True,True,True,196,12,5087,78,0.8088499000004958,0.31930319999992207,21.345962999999756,4.368895800000246
spa2.mtx,1e-06,True,True,True,True,122,8,1949,57,0.5465192999999999,0.17737960000158637,7.994186199999604,3.0588601999988896
spa2.mtx,0.0001,True,True,True,True,42,5,161,36,0.19831879999946977,0.10217830000146932,0.7030422999996517,2.0358744999994087
vem1.mtx,1e-10,True,True,True,True,59,2338,3058,4671,0.04878690000077768,13.406266900001356,2.153369300000122,78.42550999999912
vem1.mtx,1e-08,True,True,True,True,53,1778,2336,3552,0.031524500000159605,12.175736299999699,1.4797592000013537,61.061955499999385
vem1.mtx,1e-06,True,True,True,True,45,1218,1612,2433,0.03992409999955271,11.719002300000284,1.545260099999723,44.201163600000655
vem1.mtx,0.0001,True,True,True,True,38,659,890,1314,0.023308399999223184,3.6938726999997016,0.5207531000014569,22.2550183000003
vem2.mtx,1e-10,True,True,True,True,74,3589,4696,7174,0.2642046999972081,62.32910199999969,13.840184699998645,295.6419326999967
vem2.mtx,1e-08,True,True,True,True,66,2714,3566,5425,0.19908630000281846,40.901664099998015,11.070745499997429,211.63693720000083
vem2.mtx,1e-06,True,True,True,True,56,1840,2438,3676,0.1864691999999195,34.48241269999926,7.396072800000184,153.2921692
vem2.mtx,0.0001,True,True,True,True,47,965,1308,1927,0.14935389999845938,17.5719136000007,4.042688999999882,84.84626200000093
